Nom,Prix,Unité,Réduction
"Bière Sans Alcool Aromatisée au jus de Cerise Griotte 0,0% TOURTEL TWIST",5,le pack de bouteilles,le 2ème à -40%
"Bière Blonde Sans Alcool 0,0% 1664 BLANC",5,le pack de bouteilles,le 2ème à -50%
"Bière Sans Alcool Aromatisée au jus de Nectarine et Citron Vert 0,0% TOURTEL TWIST",5,le pack de bouteilles,le 2ème à -40%
Vin Rosé Pétillant Italie LAMBRUSCO EMILIA VILA VERONI,4,75cL,le 2ème à -68%
Vin Rouge I.G.P. Pétillant Italie LAMBRUSCO EMILA,4,75cL,le 2ème à -68%
Boisson rafraîchissante saveur citron et citron vert INNOCENT,2,75cL,1 acheté = 10% de remise
Vin Rosé de France Frais Et Fruité PAPOTE,4,75cL,1 acheté = 15% de remise
Vin Rosé A.O.P. Italie lambrusco D.O.C. demi Sec DI MODENA,3,75cL,promo : 20%
Eau de source CARREFOUR CLASSIC',2,le pack de bouteilles,le 2ème à -20%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Eau de source CARREFOUR CLASSIC',1,le pack de bouteilles,le 2ème à -20%
Eau de source CARREFOUR CLASSIC',1,6x50cL,le 2ème à -20%
Eau aromatisée Antioxydant infusion de thé pourpre CONTREX GREEN,1,75cL,le 2ème à -50%
"Bière Sans Alcool Aromatisée au jus de Citron 0,0% TOURTEL TWIST",4,le pack de canettes,le 2ème à -40%
Boisson concentrée au citron et gingembre à diluer PULCO,2,70cL,1 acheté = 15% de remise
Eau aromatisée BIO Thé Blanc saveur Passion CONTREX GREEN,1,75cL,le 2ème à -50%
"Bière Blonde Belge Sans Alcool 0,0% LA CHOUFFE",6,le pack de bouteilles,1 acheté = 15% de remise
Jus de fruits bio pomme mangue CARREFOUR BIO,3,1L,prime bio
Jus d'ananas bio 100% pur jus CARREFOUR BIO,3,la brique,prime bio
Jus de clémentine Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Jus de pomme 100% pur jus CARREFOUR BIO,1,1L,prime bio
Jus de pamplemousse bio rose pur jus CARREFOUR BIO,3,1L,prime bio
Jus de fruits Matin Douceur Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Jus de fruits multifruits 100% pur jus CARREFOUR BIO,3,1L,prime bio
Vin Rosé A.O.P. Côtes-Du-Rhône CELLIER DES DAUPHINS PRESTIGE,11,la fontaine,1 acheté = 10% de remise
Vin Rouge A.O.P. Bordeaux LE GRAND ECUYER,3,75cL,promo : 34%
Bière Blonde LA BETE,5,le pack de bouteilles,promo : 34%
Concentré Lipton Ice Tea saveur Pêche 440ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Concentré 7Up zéro sucres 440 ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Concentré 7Up 440 ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Concentré Lipton Ice Tea saveur Pêche Zéro 440ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Concentré Pepsi - 440 ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Concentré Pepsi zéro sucres 440 ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Boisson Aromatisée à Base de Vin Rosé Saveur Framboise VERY FRAMBOIS',3,75cL,1 acheté = 10% de remise
Apéritif sans alcools tonic SUZE,3,le pack de bouteilles,promo : 34%
Boisson Iced Tea saveur pêche CARREFOUR SENSATION,1,Quantité non disponible,le 2ème à -30%
Boisson Diabolo grenadine CARREFOUR CLASSIC',1,Quantité non disponible,promo : 20%
Limonade CARREFOUR CLASSIC',0,"1,5L",le 2ème à -30%
Boisson énergisante CRAZY TIGER,2,1L,prenez en 3 = payez en 2
Sirop au sucre de canne LE SIROP DE MONIN,2,33cL,le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Eau minérale gazeuse naturelle PERRIER,3,le pack de bouteilles,le 2ème à -50%
Eau aromatisée RECHARGE Fruits Rouges VITTEL +,1,75cL,le 2ème à -50%
Eau minérale naturelle VITTEL,2,le pack de bouteilles,le 2ème à -50%
Eau minérale gazeuse naturelle PERRIER,3,le pack de bouteilles,le 2ème à -50%
Eau aromatisée fraise VITTEL ARO,1,1L,le 2ème à -50%
Eau minérale naturelle VITTEL,2,le pack de bouteilles,le 2ème à -50%
Eau aromatisée citron - citron vert VITTEL ARO,1,1L,le 2ème à -50%
Eau minérale naturelle VITTEL,2,le pack de bouteilles,le 2ème à -50%
Eau aromatisée IMMUNITÉ Pêche VITTEL+,1,75cl,le 2ème à -50%
Eau minérale naturelle MONT BLANC,3,le pack de bouteilles,prenez en 3 = payez en 2
Eau gazeuse minérale naturelle VERNIERE,2,le pack de bouteilles,promo : 34%
"Bière Blonde Forte 8,0% SAINT-OMER",1,50cL,le 2ème à -50% d'économies
"Bière Blonde Sans Alcool 0,0% HEINEKEN",8,le pack de bouteilles,le 2ème à -50%
"Bière Sans Alcool Aromatisée Agrumes et zestes de Citron, Virgin 0,0% DESPERADOS",7,le pack de bouteilles,le 2ème à -50%
"Bière Sans Alcool Aromatisée Ananas, Mangue et Citron Vert DESPERADOS",3,le pack de bouteilles,le 2ème à -50%
"Bière Rouge Aromatisée à la Cerise, Griottes non Filtrée PELICAN",9,le pack de bouteilles,le 2ème à -60%
Jus d'ananas CARREFOUR CLASSIC',2,6x20cL,le 2ème à -20%
Limonade zestée CARREFOUR CLASSIC',1,"1,5L",le 2ème à -30%
Sirop fraise CARREFOUR ORIGINAL,2,Quantité non disponible,le 2ème à -20%
Pastis de Marseille BAYANIS,16,100cL,20% d'économies
Apéritif Spritz FORTENI,8,1L,le 2ème à -30%
Vin Blanc A.O.P. Saint-Véran CHRISTIAN COLLOVRAY & JEAN LUC TERRIER REFLETS DE FRANCE,16,75cL,le 2ème à -50%
Sirop anis CARREFOUR ORIGINAL,3,1L,le 2ème à -20%
Vin Blanc de France Sauvignon LA FRANCETTE,2,75cL,"2 achetés = 4,4€"
Boisson Iced Tea saveur mangue CARREFOUR SENSATION,1,Quantité non disponible,le 2ème à -30%
Rosato MARTINI,7,1L,1 acheté = 10% de remise
Sirop grenadine CARREFOUR ORIGINAL,2,1L,le 2ème à -20%
Vin Blanc A.O.P. Bordeaux LA CAVE D'AUGUSTIN FLORENT,3,75cL,le 2ème à -50%
Vin Blanc de France Sauvignon LA FRANCETTE,9,la fontaine,2 achetés = 18€
Soda Zero saveur Agrumes SCHWEPPES,1,"1,5L",le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Cidre rouge LA MORDUE,2,le pack de bouteilles,promo : 34%
Bianco MARTINI,7,1L,1 acheté = 10% de remise
Bière Rouge LA BETE,5,le pack de bouteilles,promo : 34%
Vin Rosé A.O.P. Bordeaux LA CAVE D'AUGUSTIN FLORENT,3,75cL,le 2ème à -50%
Soda saveur Citron SCHWEPPES,1,"1,5L",le 2ème à -50%
Jus de carotte CARREFOUR EXTRA,2,1L,le 2ème à -20%
Jus de raisin CARREFOUR CLASSIC',2,6x20cL,le 2ème à -20%
Vin Rosé de France Cinsault Et Grenache LA FRANCETTE,2,75cL,"2 achetés = 4,4€"
Jus d'ananas pur jus CARREFOUR EXTRA,2,1L,le 2ème à -20%
Boisson Iced Tea saveur framboise CARREFOUR SENSATION,1,Quantité non disponible,le 2ème à -30%
Boisson Iced Tea citron-citron vert CARREFOUR SENSATION,1,Quantité non disponible,le 2ème à -30%
Porto rosé WESTPORT,6,Quantité non disponible,le 2ème à -30%
Sirop de menthe CARREFOUR ORIGINAL,2,1L,le 2ème à -20%
Cocktail Spritz FORTENI,5,75cL,le 2ème à -30%
Boisson Iced Tea saveur pêche zéro CARREFOUR SENSATION,1,"1,5L",le 2ème à -30%
"Bière Sans Alcool aux arômes de Framboise et Zestes de Citron-Vert, Virgin Fresh Berries 0,0% DESPERADOS",4,le pack de bouteilles,le 2ème à -50%
Sirop caramel MONIN,2,33cL,le 2ème à -50%
Jus de tomate 100% pur jus CARREFOUR EXTRA,1,1L,le 2ème à -20%
Porto Fine Tawny WESTPORT,6,75cL,le 2ème à -30%
Porto 10 ans WESTPORT,11,75cL,le 2ème à -30%
Sirop menthe CARREFOUR ORIGINAL,2,1L,le 2ème à -20%
Porto blanc WESTPORT,6,75cL,le 2ème à -30%
Porto Fine Ruby WESTPORT,8,75cL,le 2ème à -30%
Cidre Original LA MORDUE,2,le pack de bouteilles,promo : 34%
Boisson Iced Tea menthe CARREFOUR SENSATION,1,"1,5L",le 2ème à -30%
Vin Rosé A.O.C. Bordeaux LA CAVE D'AUGUSTIN FLORENT,11,la fontaine,le 2ème à -50%
Vin Rouge de France Merlot LA FRANCETTE,2,75cL,"2 achetés = 4,4€"
Sirop Orgeat CARREFOUR ORIGINAL,3,Quantité non disponible,le 2ème à -20%
Boisson Apéritivo Fiero MARTINI,7,1L,1 acheté = 10% de remise
"Bière Blonde Sans Alcool 0,0% HEINEKEN",5,le pack de canettes,le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Vin Rosé de France Cinsault Et Grenache LA FRANCETTE,9,la fontaine,2 achetés = 18€
Jus de clémentine CARREFOUR EXTRA,2,1L,le 2ème à -20%
Jus de raisin 100% pur jus CARREFOUR EXTRA,1,1L,le 2ème à -20%
Vin Blanc D.O.C. Prosecco Biologico VILAVERONI,5,75cL,promo : 34%
Spritz sans alcool CINZANO,3,le pack de bouteilles,promo : 34%
Vin Rouge A.O.P. Bordeaux LA CAVE D'AUGUSTIN FLORENT,11,la fontaine,le 2ème à -50%
Vin Rouge A.O.P. Bordeaux LA CAVE D'AUGUSTIN FLORENT,3,75cL,le 2ème à -50%
"Bière Sans Alcool Aromatisée Agrumes et zestes de Citron, Virgin 0,0% DESPERADOS",4,le pack de bouteilles,le 2ème à -50%
Cidre IPA Houblonné et Fruité LA MORDUE,2,le pack de bouteilles,promo : 34%
Vin Rouge A.O.P. Cairanne THOMAS & THIERRY REFLETS DE FRANCE,7,75cL,le 2ème à -50%
Vin Rouge A.O.P. Côtes Du Rhône VIGNERONS DE L'ENCLAVE GRAND MILLESIME,4,75cL,prenez en 3 = payez en 2
"Bière Sans Alcool Aromatisée Menthe et Citron-Vert, Virgin Mojito 0,0% DESPERADOS",4,le pack de bouteilles,le 2ème à -50%
Eau minérale gazeuse naturelle PERRIER,3,le pack de canettes,le 2ème à -50%
Vin Rouge de France Cabernet Sauvignon LA FRANCETTE,9,la fontaine,2 achetés = 18€
Boisson Ginger beer FEVER TREE,2,50cL,le 2ème à -50%
Jus d'orange 100% pur jus CARREFOUR EXTRA,7,4x1L,le 2ème à -30%
Eau aromatisée fraise CARREFOUR CLASSIC',0,"1,5L",le 2ème à -30%
Vin Rouge de France Cabernet Sauvignon LA FRANCETTE,2,75cL,"2 achetés = 4,4€"
Whisky Blended Scotch Rare J&B,17,1L,1 acheté = 3€ de remise
Bière Ambrée de Garde CH'TI,2,75cL,1 acheté = 10% de remise
Smoothie Fraise Banane NU,1,Quantité non disponible,promo : 34%
Smoothie orange mangue passion NU,1,33cL,promo : 34%
Bière blonde SAINT OMER,3,le pack de canettes,le 2ème à -50% d'économies
Smoothie grenade açaï cranberry NU,1,33cL,promo : 34%
Sirop pour Spritz sans alcool,2,33cL,le 2ème à -50%
Smoothie grenade açaï cranberry NU,2,1L,promo : 34%
Soda Citron Gingembre Bio Kombucha KYO,1,33cL,promo : 34%
Cidres rose naturel ECUSSON,3,le pack de bouteilles,promo : 34%
Cidre bio doux fruité ECUSSON,3,le pack de bouteilles,promo : 34%
Cidre généreux bio brut ECUSSON,3,le pack de bouteilles,promo : 34%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Vin Rosé A.O.P. languedoc Roussillon Syrah L'ODALET,4,75cL,1 acheté = 25% de remise
Soda sans sucres COCA-COLA,10,le pack de canettes,vu en catalogue
Vin Rosé de France Merlot LA FRANCETTE,9,la fontaine,2 achetés = 18€
Eau aromatisée pêche et gingembre VITTEL,1,1L,le 2ème à -50%
Eau minérale gazeuse naturelle PERRIER,3,le pack de bouteilles,le 2ème à -50%
Sirop Saveur Vanille MONIN,2,33cL,le 2ème à -50%
Eau minérale naturelle VITTEL,2,75cL,le 2ème à -50%
Smoothie ananas banane coco NU,1,33cL,promo : 34%
Smoothie ananas banane coco NU,2,1L,promo : 34%
Vin blanc AOC LE GRAND ECUYER,9,la fontaine,promo : 34%
Vin rouge Languedoc MYTHIQUE,3,75cL,promo : 30%
Vin rosé Bordeaux LE GRAND ECUYER,9,3L,promo : 34%
Soda Pêche Baie de Sureau Bio Kombucha KYO,1,33cL,promo : 34%
Sirop Mojito mint MONIN,2,33cL,le 2ème à -50%
Sirop pina colada MONIN,2,33cL,le 2ème à -50%
Vin blanc Bordeaux moelleux LE GRAND ECUYER,3,75cL,promo : 34%
Concentré Lipton Green Ice Tea saveur Menthe Citron Vert 440ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Eau aromatisée citron vert et menthe VITTEL+,1,75 cL,le 2ème à -50%
Eau minérale naturelle bouchon sport VITTEL,0,75cL,le 2ème à -50%
Vin Blanc Bordeaux LA CAVE D'AUGUSTIN FLORENT,11,le pack de bouteilles,le 2ème à -50%
Sirop Saveur Noisette MONIN,2,33cL,le 2ème à -50%
Vin blanc Bordeaux LE GRAND ECUYER,3,75cL,promo : 34%
Concentré 7 UP Mojito Free 440ml SODASTREAM,5,Quantité non disponible,le 2ème à -50%
Vin blanc mythique languedoc MYTHIQUE,9,3L,promo : 30%
Vin mythique languedoc MYTHIQUE,9,3L,promo : 30%
Vin rosé languedoc mythique MYTHIQUE,3,75cL,promo : 30%
Smoothie orange mangue passion NU,2,1L,promo : 34%
Smoothie Kiwi Pomme Ananas NU,1,33cL,promo : 34%
Cidre artisanal bio LE BRUN,3,75cL,le 2ème à -68%
Soda sans sucres Citron Citron vert 7UP,3,le pack de canettes,le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Rosso MARTINI,7,1L,1 acheté = 10% de remise
Soda saveur Agrumes SCHWEPPES,1,"1,5L",le 2ème à -50%
"Bière Sans Alcool 0,0% HEINEKEN",4,le pack de bouteilles,le 2ème à -50%
Whisky Old N°7 JACK DANIEL'S,19,70cL,1 acheté = 1€ de remise
Vin blanc mythique languedoc MYTHIQUE,3,75cL,promo : 30%
Vin rosé Bordeaux LE GRAND ECUYER,3,75cL,promo : 34%
Vin rouge Bordeaux LE GRAND ECUYER,9,3L,promo : 34%
Vin rouge aop languedoc MYTHIQUE,9,Quantité non disponible,promo : 30%
Boisson concentrée au citron et à la fraise PULCO,2,70cl,1 acheté = 25% de remise
Bière Blonde de Caractère Non-Filtrée PELICAN,8,le pack de bouteilles,le 2ème à -60%
"Bière aromatisée au Rhum, fruit de passion et citron vert DESPERADOS TROPICAL",11,le pack de bouteilles,1 acheté = 25% de remise
Eau gazeuse minérale intensément pétillante Rouge BADOIT,4,le pack de bouteilles,le 2ème à -50%
Whisky Smoky Scotch SIR EDWARD'S,13,70cL,34% d'économies
Jus de pomme 100% pur jus Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Jus de pomme CARREFOUR CLASSIC',1,6x20cL,le 2ème à -20%
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4,le pack de bouteilles,le 2ème à -50%
Rhum vieux PRESIDENTE,28,70cL,1 acheté = 4€ de remise
Liqueur Fruité Menthe Citron 17.9° GET,13,70cL,10% d'économies
Champagne Brut CHARLES DE COURANCE,25,75cL,prime bio
Soda mediterranean tonic water FEVER-TREE,2,50cL,le 2ème à -50%
"Bière Blonde Sans Alcool 0,0% 1664",5,le pack de canettes,le 2ème à -50%
"Gin Sans Alcool 0,0% TANQUERAY",16,70cL,1 acheté = 15% de remise
Vin Rosé A.O.P. Côteaux Varois en Provence ESTANDON LUMIERE,6,75cL,1 acheté = 15% de remise
Boisson goût citron et citron Vert Bio VITTEL UP,2,le pack de bouteilles,le 2ème à -50%
Sirop de sucre de canne UTC4,1,70cL,le 2ème à -30%
Jus de raisin bio 100% pur jus CARREFOUR BIO,2,1L,prime bio
Rhum ambré des îles OLD NICK,12,70cL,1 acheté = 10% de remise
Whisky Highland single malt GLEN DEVERON,23,70cL,1 acheté = 3€ de remise
Boisson au thé glacé saveur pêche LIPTON,7,"6x1,25L",vu en catalogue
Vin Rosé AOP Languedoc Vaugelas LES FALAISES,4,75cL,prenez en 6 = payez en 4
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Légumes cuisinés lentilles oignons carottes VIVIEN PAILLE,1,250g,1 acheté = 10% de remise
Pate caserecce molisane LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pulpe de tomates en dés LA MOLISANA,1,Quantité non disponible,promo : 20%
"Soupe mouliné carottes, tomates, haricots rouges bio KNORR & LA POTAGERE",2,1L,promo : 20%
"Soupe mouliné légumes verts, riz complet bio KNORR & LA POTAGERE",2,1L,promo : 20%
Sauce Antillaise DAME BESSON,3,210g,promo : 20%
Sauce pesto alla genovese Bio SACLA,3,Quantité non disponible,le 2ème à -50%
Sauce aux légumes grillés PIETRO CASTELLI,2,Quantité non disponible,le 2ème à -60%
Sauce pizza LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pate linguine MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes Farfalle Rigate N°66 LA MOLISANA,1,Quantité non disponible,1 acheté = 25% de remise
Sauce Arrabbiata PIETRO CASTELLI,1,Quantité non disponible,1 acheté = 25% de remise
Sauce pesto alla Genovese Bio CARREFOUR BIO,2,Quantité non disponible,le 2ème à -30%
Pâtes farfalle bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Mayonnaise traditionnelle LA TOURANGELLE,2,Quantité non disponible,1 acheté = 25% de remise
Purée de tomates CARREFOUR,0,500g,"2 achetés = 1,4€"
Huile mélange 4 huiles CARREFOUR CLASSIC',2,Quantité non disponible,le 2ème à -30%
Tomates pelées au jus CARREFOUR CLASSIC',0,240g,prenez en 4 = payez en 3
Vinaigre Balsamique Bio PONTI,4,Quantité non disponible,1 acheté = 15% de remise
Vinaigre cidre Bio JARDIN BIO ETIC,2,75cL,1 acheté = 25% de remise
Terrine de foie de volaille Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Semoule de blé fine LE RENARD,2,Quantité non disponible,le 2ème à -40%
Noix de cajou grillées à sec pointe de paprika MENGUY'S,3,Quantité non disponible,1 acheté = 10% de remise
Sauce gourmet ail et fines herbes BENEDICTA,1,260g,1 acheté = 15% de remise
Semoule de blé grosse LE RENARD,2,Quantité non disponible,le 2ème à -40%
Haricots rouges Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Origan bio déshydraté CARREFOUR BIO,0,9g,prime bio
Mélange quinoa céréales et lentilles Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Plat cuisiné cassoulet CARREFOUR BIO,3,420g,prime bio
Vinaigre blanc Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Huile de tournesol Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Chips saveur cheddar jalapeno BRETS,1,Quantité non disponible,1 acheté = 10% de remise
Pâtes fusilli bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pâtes spaghetti bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Gressins à l'huile d'olive sans gluten SCHAR,3,Quantité non disponible,1 acheté = 10% de remise
Huile friture CARREFOUR BIO,8,Quantité non disponible,prime bio
Mini-crackers emmental graines de courge Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Mélange sarrasin lentilles quinoa CARREFOUR BIO,3,Quantité non disponible,prime bio
Chips de sarrasin au sel de Gerande BRETS,3,120g,promo : 20%
Soupe 8 légumes 30% sel réduit Bio LES RECETTES FERME D'ANCHIN,5,"98,5cL",le 2ème à -60%
Ail semoule bio DUCROS,2,Quantité non disponible,1 acheté = 10% de remise
Gingembre moulu bio DUCROS,2,Quantité non disponible,1 acheté = 10% de remise
Piment de Cayenne entier DUCROS,1,11g,promo : 20%
Mélange piment jalapeno DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
Piment de Cayenne mélange fort DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
Fines Herbes DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
Poivre steak DUCROS,2,Quantité non disponible,promo : 20%
Persil DUCROS,3,Quantité non disponible,1 acheté = 25% de remise
Mélange d'épices Persillade DUCROS,2,Quantité non disponible,1 acheté = 10% de remise
Assaisonnement Colombo Créole DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
Paprika de Hongrie DUCROS,3,48g,1 acheté = 25% de remise
Epices pour grillades DUCROS,2,Quantité non disponible,promo : 20%
Thym DUCROS,3,Quantité non disponible,1 acheté = 25% de remise
Epices pour Country Potatoes DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
Marjolaine DUCROS,1,10g,1 acheté = 25% de remise
Sauge DUCROS,1,12g,1 acheté = 25% de remise
Fenouil DUCROS,1,30g,1 acheté = 25% de remise
Cerfeuil DUCROS,1,Quantité non disponible,promo : 20%
Champignons de Paris émincés CARREFOUR BIO,2,230g,prime bio
Huile de lin Bio CARREFOUR BIO,4,Quantité non disponible,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Asperges blanches grosses Bio CARREFOUR BIO,4,210g,prime bio
Pâtes penne rigate blé complet bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pâtes farfalle blé complet bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pâtes rosmarino bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Taboulé à l'huile d'olive/menthe Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Fusili au blé complet Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Asperges vertes grosses Bio CARREFOUR BIO,3,37cL,prime bio
Pâtes zoo Bio CARREFOUR BIO,1,500g,prime bio
Ratatouille à la Provençale Bio CARREFOUR BIO,2,630g,prime bio
Gressins bio à l'huile d'olive CARREFOUR BIO,1,Quantité non disponible,prime bio
Sauce mayonnaise comme à la maison BENEDICTA,3,390g,promo : 20%
Sauce tomate et parmigiano reggiano POLLI,2,Quantité non disponible,le 2ème à -68%
Thym Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Champignons de Paris émincés Bio CARREFOUR BIO,2,170g,prime bio
Chips nature au sel de Guérande Bio CARREFOUR BIO,2,125g,prime bio
Plat cuisiné volaille et lentilles Bio CARREFOUR BIO,3,300g,prime bio
Mayonnaise CARREFOUR BIO,2,238g,prime bio
Plat cuisiné porc au caramel riz Bio CARREFOUR BIO,3,300g,prime bio
Pâtes farfalle cuore mio bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pâtes linguine cuore mio bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Plat cuisiné hachis parmentier Bio CARREFOUR BIO,3,300g,prime bio
Nouilles instantanées aux crevettes halal YUM YUM,0,Quantité non disponible,1 acheté = 10% de remise
Nouille de riz WEI MING,2,Quantité non disponible,1 acheté = 10% de remise
Double concentré de tomates Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Cœurs de palmier sauvage Bio CARREFOUR BIO,4,250g,prime bio
Riz long grain incollable Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Biscuits apéritifs crackers sans gluten SCHAR,3,Quantité non disponible,1 acheté = 15% de remise
Pâtes Tempestina n°11 SAMIA,1,Quantité non disponible,1 acheté = 10% de remise
Chips curvies sans gluten SCHAR,2,170g,1 acheté = 25% de remise
Chips saveur miel moutarde BRETS,1,Quantité non disponible,1 acheté = 10% de remise
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
