Nom,Prix,Unité,Réduction
Bière Blonde GRIMBERGEN,12,le pack de bouteilles,1 acheté = 25% de remise
Petits suisses aux fruits fraise banane abricot framboise pêche/poire DANONINO,3,18x50g,le 2ème à -60%
Muffins nature CARREFOUR SENSATION,1,Quantité non disponible,le 2ème à -30%
Café moulu familial GRAND'MERE,20,3kg,1 acheté = 30% de remise
Barres Céréales Protéinées Cacahuètes Et Chocolat Sans Gluten PROTEIN NATURE VALLEY,3,160g,prenez en 3 = payez en 2
Boisson Lactée Pêche Abricot Sans Sucres Ajoutés DANAO,4,2x900mL,le 2ème à -60%
Frites just au four classique MCCAIN,3,910g,le 2ème à -60%
Riz Basmati CARREFOUR EXTRA,1,500g,le 2ème à -30%
Lessive Liquide Raviveur de Noir MIR,5,x27 lavages,34% d'économies
"Fromage à raclette 3 Poivres, Classique et de Caractère RICHESMONTS",10,Grand format,le 2ème à -60%
Thon Naturel PETIT NAVIRE,5,279g,le 2ème à -60%
Thon entier au naturel PETIT NAVIRE,7,3 x112g,le 2ème à -60%
Noix de cajou grillées sans sel ajouté CARREFOUR CLASSIC,1,Quantité non disponible,prenez en 4 = payez en 3
"Compotes pomme, fraise, abricot sans sucres ajoutés POM'POTES",29,96x90g,vu en catalogue
Tablette de chocolat Lait Extra Fin LINDT L'AUTHENTIQUE,4,100g,le 2ème à -50%
Lessive liquide Total Fresh CARREFOUR EXPERT,3,44 lavages,le 2ème à -40%
Poulet fermier blanc Label Rouge FERMIERS DE LOUE,8,Quantité non disponible,vu en catalogue
Biscuit chocolat amande GERBLE,1,4 sachets de 4 biscuits,prenez en 3 = payez en 2
Lingettes Décolorante Protection Couleurs DECOLOR STOP,9,x66,promo : 34%
Filets de maquereaux à la moutarde SAUPIQUET,15,10x169g,vu en catalogue
Dessert végétal brassé au lait de coco nature ANDROS,4,8 pots,le 2ème à -60%
Café dosettes Classique n°5 compatibles Senseo CARTE NOIRE,4,36 dosettes,le 2ème à -60%
Bière blonde 1664,9,le pack de bouteilles,1 acheté = 25% de remise
Viande de porc: Filet mignon à rôtir,11,"1,150kg",vu en catalogue
"Bière Aromatisée au spiritueux Cachaça, Fruits Rouges, Guarana, Red DESPERADOS",11,le pack de bouteilles,1 acheté = 25% de remise
Manchons de poulet nature MAITRE COQ,2,250g,le 2ème à -50%
Café capsules Compatible Nespresso Blonde Espresso Roast Intensité 6 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Viande de Veau: Côte *** à griller,12,1KG,vu en catalogue
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Café capsules lungo profondo intensité 8 compatibles Nespresso L'OR,3,10 capsules,le 2ème à -60%
Haricots verts extra croquants cuits à la vapeur BONDUELLE,17,12x440g,vu en catalogue
Café moulu Bahia Brésil 100% arabica JACQUES VABRE,3,250g,le 2ème à -60%
Avocat,1,la pièce,"2 achetés = 2,19€"
Lessive Liquide l'Expert au Bicarbonate LE CHAT,45,x198 lavages,34% d'économies
Aiguillettes végétales & gourmandes HAPPYVORE,2,Quantité non disponible,promo : 34%
Capsules Lessive Bora Bora aux Fleurs de MonoÏ et Aloé Vera SUPER CROIX,10,x40 lavages,vu en catalogue
Capsules Lessive 4en1 Pods Active+ Odor ARIEL,14,30 lavages,34% d'économies
Pizza Numero Uno Margherita ITALPIZZA,3,Format classic,34% d'économies
Vin Rouge I.G.P. Pays d'Oc Cabernet Sauvignon LES ORMES DE CAMBRAS,11,la fontaine,1 acheté = 25% de remise
Rôti de rumsteck ***,12,1Kg,vu en catalogue
Huile d'olive OPTIMAL TRAMIER,9,2L,vu en catalogue
Viennoiserie assortie,3,Quantité non disponible,vu en catalogue
"Soupe velouté potiron, oignon, pomme de terre 100% ingrédients naturels LIEBIG",5,2x1L,le 2ème à -60%
Surimi CARREFOUR CLASSIC',4,Quantité non disponible,le 2ème à -30%
Pains au chocolat pur beurre,4,10 pièces,vu en catalogue
Rocher chocolat au lait SUCHARD,4,7x 35g,le 2ème à -60%
Boisson soja Bio BJORG,3,Quantité non disponible,vu en catalogue
Lessive Liquide Bouquet De Provence Aux Extraits Naturels De Lavande PERSIL,9,80 lavages,34% d'économies
Palette de porc demi-sel CARREFOUR,8,"1,100kg",vu en catalogue
Viande Bovine: à fondue ou brochette,8,750g,vu en catalogue
Capsules Lessive tout en 1 Détergent Ambre et Orchidée DASH,9,x33 lavages,promo : 34%
Boisson Végétale à Base d'Avoine et Amande Bio BJORG,2,1L,1 acheté = 30% de remise
Poulet jaune fermier LR CARREFOUR,10,Quantité non disponible,vu en catalogue
Lessive Poudre Alpine ARIEL,19,69 lavages,promo : 20%
Vin Rouge A.O.C. Blaye Côtes de Bordeaux Vignoble de Talent LA CROIX DES REMPARTS,5,75cL,6 achetés = 34% de remise
Lessive Liquide Cycle court Efficacité Express SKIP,10,x37 lavages,34% d'économies
Café moulu Tradition CARREFOUR CLASSIC',8,Le paquet de 1kg (4x250ge),prenez en 3 = 1 économisé
Viande de Volaille: filets de poulets blanc VOLAILLE FRANCAISE,21,"2,5Kg",vu en catalogue
Plat cuisiné parmentier de bœuf MAISON TINO,7,750g,vu en catalogue
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Riz Vrac Complet BEN'S ORIGINAL,4,1Kg,le 2ème à -68%
Comprimés Top Forme JUVAMINE,3,Quantité non disponible,promo : 34%
Crevettes cuites 40/60,2,300g,vu en catalogue
Fleurs mimosa 150G CARREFOUR,3,Quantité non disponible,vu en catalogue
Vin Rouge de France Merlot LA FRANCETTE,9,la fontaine,2 achetés = 18€
Nuggets blé oignon CARREFOUR SENSATION,2,Quantité non disponible,le 2ème à -30%
Complément alimentaire Brûle-graisse Jour & Nuit VITAVEA,4,30 gélules,promo : 34%
Poudre cacaotée Bio CARREFOUR BIO,3,500g,le 2ème à -30%
Sandwich jambon emmental DAUNAT,1,Quantité non disponible,promo : 34%
Viande d'agneau : épaule avec os**,9,Quantité non disponible,vu en catalogue
Penne lentilles corail CARREFOUR SENSATION,2,250g,le 2ème à -40%
Biscuits palets bretons REFLETS DE FRANCE,1,Quantité non disponible,le 2ème à -40%
Burgers Cheese maxi CHARAL,6,2 pièces,prenez en 3 = payez en 2
Tablette de chocolat noir écorces d'orange confites CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Dessert végétal soja cerise SOJASUN,1,4 pots,le 2ème à -68%
Kombucha Thé Fermenté Pétillant au Gingembre Bio UCHA,2,75cL,1 acheté = 25% de remise
Tapenade noire Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Nectarines jaunes Bio CARREFOUR BIO,3,500g,prime bio
Pruneaux d'Agen entiers Bio CARREFOUR BIO,3,250g,prime bio
Salade Bio roquette CARREFOUR BIO,2,100g,prime bio
Tomate cerise CARREFOUR BIO,2,200g,prime bio
Olives vertes dénoyautées aux herbes CARREFOUR BIO,2,150g,prime bio
Abricots secs BROUSSE VERGEZ,2,250g,vu en catalogue
Nectar Fruit De La Passion CARESSE ANTILLAISE,2,1L,promo : 20%
Pomelos Bio CARREFOUR BIO,2,2 pièces,prime bio
Ciboulette en pot Bio CARREFOUR BIO,1,la pièce,prime bio
Menthe Bio en pot CARREFOUR BIO,1,la pièce,prime bio
