nom,prix,unite,reduction
POM'POTES Gourdes compote 5 fruits pomme abricot pêche poire banane sans sucres ajoutés,4.75,16x90g,Aucune réduction
AUCHAN Coupelles d'ananas au sirop léger,2.80,452g,Aucune réduction
BJORG Boisson végétale au lait d'amande protéines bio,3.90,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale avoine bio,1.50,500ml,60 % cagnottés sur le 2ème
VAHINE Ferments lactiques pour yaourt maison à la vanille bourbon,2.36,20g,Aucune réduction
3 TOQUES Bouchées feuilletées à garnir,3.14,318g,Aucune réduction
BJORG Boisson végétale avoine bio,2.26,500ml,60 % cagnottés sur le 2ème
JUVAMINE Complément vitamine C 500 sans sucre arôme naturel orange en comprimés,4.68,64g,Aucune réduction
LAY'S Chips nature,1.74,135g,Aucune réduction
LAY'S Chips recette à l'ancienne nature,3.49,370g,-50% sur le 2ème
LAY'S Chips saveur barbecue,1.47,135g,Aucune réduction
LAY'S Chips poulet rôti,1.43,135g,Aucune réduction
LAY'S Chips emmental,1.48,135g,Aucune réduction
LAY'S Chips saveur barbecue,3.49,370g,-50% sur le 2ème
BRETS Chips de sarrasin saveur curry crème,3.24,120g,Aucune réduction
LAY'S Chips saveur poulet rôti,3.49,370g,-50% sur le 2ème
AUCHAN Tortillas nature,0.84,150g,30 % cagnottés sur le 2ème
AUCHAN Tortillas saveur fromage,1.18,150g,30 % cagnottés sur le 2ème
AUCHAN Tortillas saveur sweet chili,1.33,150g,30 % cagnottés sur le 2ème
LAY'S Biscuits soufflés 3D's goût cacahuète,2.84,300g,-50% sur le 2ème
LAY'S Biscuits soufflés 3D's goût bacon,2.84,300g,-50% sur le 2ème
AUCHAN Noix de cajou grillées et salées,3.75,250g,-60% sur le 2ème
ITALIANS DO IT BETTER Sauce Pomodoro tomates fraîches basilic Genovese AOP,4.75,290g,Aucune réduction
ITALIANS DO IT BETTER Arrabbiata Pulpe de tomates fraîches & piment,4.75,290g,Aucune réduction
AUCHAN Graisse végétale à frire,6.96,1000.0g,30 % cagnottés sur le 2ème
AUCHAN Vinaigrette aux échalotes et ciboulette,2.56,350.0ml,30 % cagnottés sur le 2ème
AUCHAN Vinaigre d'alcool blanc 10% d'acidité en bidon,4.42,5000.0ml,Aucune réduction
TABASCO Sauce pimentée rouge,2.83,60.0ml,Aucune réduction
AUCHAN BIO Haricots verts extras fins cueillis et rangés main en bocal,2.73,180g,30 % cagnottés sur le 2ème
BONDUELLE Haricots vert extra croquants,4.80,2x440g,-60% sur le 2ème
CASSEGRAIN Flageolets extra fins oignons et carottes,2.49,2x265g,-60% sur le 2ème
CASSEGRAIN Haricots verts plats à la provençale,6.50,lot de 2,Aucune réduction
AUCHAN BIO Petits pois sans sucres ajoutés,1.67,280g,30 % cagnottés sur le 2ème
BONDUELLE Petits pois doux et carottes extra fondants,4.15,2x530g,-60% sur le 2ème
AUCHAN BIO Tomates pelées entières au jus de tomates,1.44,240g,30 % cagnottés sur le 2ème
CIRIO Pulpe fine de tomates des Pouilles,1.39,3x400g,Aucune réduction
CIRIO Pulpe de tomates en dés de Toscane,1.39,3x400g,Aucune réduction
AUCHAN BIO Champignons de Paris émincés,2.18,230g,30 % cagnottés sur le 2ème
AUCHAN BIO Mais doux en grains sans sucres ajoutés,1.32,285g,30 % cagnottés sur le 2ème
AUCHAN BIO Maïs doux sans sucres ajoutés en bocal,2.12,230g,30 % cagnottés sur le 2ème
AUCHAN BIO Cœurs de palmier sauvage en bocal,4.65,250g,30 % cagnottés sur le 2ème
AUCHAN BIO Macédoine de légumes en bocal,3.64,265g,30 % cagnottés sur le 2ème
AUCHAN BIO Asperges blanches miniatures en bocal,2.86,110g,30 % cagnottés sur le 2ème
AUCHAN BIO Légumes pour couscous en bocal,3.33,680g,30 % cagnottés sur le 2ème
PETIT NAVIRE Thon albacore entier au naturel démarche responsable,7.99,lot de 3,Aucune réduction
AUCHAN Filets de sardines à l'huile de tournesol et au piment,1.50,100g,Aucune réduction
CONNETABLE Noix de St Jacques au naturel MSC,7.57,111g,-50% sur le 2ème
AUCHAN Soupe moulinée de légumes,1.29,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Soupe moulinée légumes d'antan,2.20,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Soupe veloutée de tomate,1.33,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Velouté de potiron avec une pointe de crème,1.68,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Soupe veloutée de légumes pointe de crème,2.00,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Soupe veloutée de légumes verts,1.97,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Cornichons extra fins aux 5 aromates,2.29,360g,40 % cagnottés sur le 2ème
AUCHAN Cornichons extra fins aux 5 aromates en bocal,1.36,185g,40 % cagnottés sur le 2ème
AUCHAN Cornichons fins aux 5 aromates,2.28,360g,40 % cagnottés sur le 2ème
AUCHAN Câpres en bocal,1.38,60g,30 % cagnottés sur le 2ème
BARILLA Macaroni,0.76,500g,Aucune réduction
BARILLA Penne rigate,0.76,500g,Aucune réduction
BARILLA Torsades,0.83,500g,Aucune réduction
BARILLA Piccolini Mini penne rigate,0.95,500g,Aucune réduction
BARILLA Spaghetti n°5,1.43,1000.0g,Aucune réduction
BARILLA Tagliatelle Collezione,1.41,500g,Aucune réduction
BARILLA Linguine Collezione,0.78,500g,Aucune réduction
BARILLA Spaghetti n°5,0.69,500g,Aucune réduction
BARILLA Capellini n°1,0.75,500g,Aucune réduction
BARILLA Lasagnes aux œufs frais Collezione,1.64,500g,Aucune réduction
GRAND'MERE Pâtes d'Alsace IGP Torsades aux 7 oeufs frais cuisson rapide,1.81,250g,Aucune réduction
AUCHAN Pois cassés,1.40,500g,30 % cagnottés sur le 2ème
LA CUISINE D'OCEANE Paupiette de veau aux champignons et riz,3.57,300g,Aucune réduction
AUCHAN Potée aux choux,4.47,840g,Aucune réduction
AUCHAN Wraps de blé,2.30,370g,40 % cagnottés sur le 2ème
AUCHAN Tortillas de blé,2.29,320g,40 % cagnottés sur le 2ème
AUCHAN Tortillas nature à l'huile de tournesol,2.70,400g,40 % cagnottés sur le 2ème
AUCHAN Tortillas saveur chili,1.55,185g,40 % cagnottés sur le 2ème
AUCHAN Tortillas nature à l'huile de tournesol,1.37,185g,40 % cagnottés sur le 2ème
AUCHAN Sauce salsa medium en bocal,1.89,315g,40 % cagnottés sur le 2ème
AUCHAN Sauce salsa saveur avocat,2.05,300g,40 % cagnottés sur le 2ème
AUCHAN Kit pour fajitas,3.75,505g,40 % cagnottés sur le 2ème
VITTEL Eau minérale naturelle plate,3.18,6x1.5l,-50% sur le 2ème
VITTEL Eau minérale naturelle plate bouchon sport bouteilles,2.92,quantité inconnue,-50% sur le 2ème
VITTEL Eau minérale naturelle plate,3.00,6000.0ml,-50% sur le 2ème
VITTEL Eau minérale naturelle plate bouteilles,2.46,quantité inconnue,-50% sur le 2ème
AUCHAN Eau minérale naturelle gazeuse source Perle,2.34,6x1.25l,40 % cagnottés sur le 2ème
CONTREX Eau minérale naturelle plate,0.39,500.0ml,Aucune réduction
AUCHAN Jus d'orange multifruits en briquettes,2.28,quantité inconnue,40 % cagnottés sur le 2ème
AUCHAN Pur jus d'orange très pulpé,2.97,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Pur jus de Clémentine Corse,2.99,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Pur jus d'ananas sans sucres ajoutés,2.43,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Jus d'ananas à base de concentré briquettes,2.48,quantité inconnue,40 % cagnottés sur le 2ème
AUCHAN Pur jus de pomme douce,1.96,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Pur jus de raisin noir muscat,1.97,1000.0ml,30 % cagnottés sur le 2ème
AUCHAN Jus de raisin à base de concentré briquettes,2.34,quantité inconnue,40 % cagnottés sur le 2ème
AUCHAN Jus multivitamines à base de concentré briquettes,2.90,quantité inconnue,40 % cagnottés sur le 2ème
AUCHAN Nectar orange pêche abricot briquettes,2.17,quantité inconnue,40 % cagnottés sur le 2ème
AUCHAN Pur jus de tomate,2.11,1000.0ml,Aucune réduction
AUCHAN Jus de pomme à base de concentré briquettes,1.39,quantité inconnue,40 % cagnottés sur le 2ème
PRESSADE Nectar de pomme bio briquettes,2.54,quantité inconnue,-50% sur le 2ème
SCHWEPPES Boisson gazeuse saveur Citron,1.75,1500.0ml,-60% sur le 2ème
SCHWEPPES Boisson gazeuse saveur Agrumes,1.65,1500.0ml,-60% sur le 2ème
SCHWEPPES Boisson gazeuse saveur Agrumes Zéro,1.75,1500.0ml,-60% sur le 2ème
SCHWEPPES Boisson gazeuse saveur agrumes,0.65,330.0ml,Aucune réduction
AUCHAN RIK & ROK Jus de pomme gazéifié sans alcool P'tite fête,2.89,750.0ml,Aucune réduction
SCHWEPPES Boisson gazeuse saveur pomme,1.75,1500.0ml,-60% sur le 2ème
MONSTER Boisson énergisante Lewis Hamilton sans sucres,2.00,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante gazeuse sans sucre Ultra boîte,2.16,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Mega boisson énergisante à la taurine et au ginseng boîte,2.16,553.0ml,4 achetés = 3 payés
MONSTER Boisson énergisante gazeuse monarch juiced boîte,1.95,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante gazeuse sans sucres,1.71,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante sans sucre,1.99,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante à la taurine nitro,1.98,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante gazeuse Khaotic Juiced,1.65,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante gazeuse aussie lemonade,2.00,500.0ml,4 achetés = 3 payés
SCHWEPPES Boisson gazeuse indian tonic,1.75,1500.0ml,-60% sur le 2ème
SCHWEPPES Boisson gazeuse Indian Tonic Zéro,1.75,1500.0ml,-60% sur le 2ème
BUNDABERG Ginger Beer sans alcool,1.99,375.0ml,Aucune réduction
LIPTON Boisson gazeuse à base de thé saveur pêche,1.18,1250.0ml,Aucune réduction
AUCHAN Thé glacé pêche en briquettes,2.29,quantité inconnue,40 % cagnottés sur le 2ème
LIPTON Boisson gazeuse à base de thé saveur citron et citron vert,1.18,1250.0ml,Aucune réduction
AUCHAN Boisson aux fruits rouges,0.32,200.0ml,Aucune réduction
MOULIN DE VALDONNE Sirop de grenadine bouteille verre,3.42,700.0ml,-68% sur le 2ème
"1664 Bière blonde 5,5% boîte",1.22,500.0ml,-68% sur le 2ème
LEFFE Prestige 1240 Bière blonde 8.5% bouteilles,4.95,quantité inconnue,Aucune réduction
"GOLDENBERG Bière blonde Forte 7,8% boîte",0.95,500.0ml,Aucune réduction
"DESPERADOS Bière Original aromatisée tequila 5,9% bouteilles",11.02,quantité inconnue,Aucune réduction
SAM BARTON Whisky canadien 8 ans 40%,12.95,700.0ml,Aucune réduction
ST SIMON Rhum blanc agricole Martinique 40%,11.27,700.0ml,Aucune réduction
ST SIMON Rhum blanc agricole martinique 50%,19.40,1000.0ml,Aucune réduction
ST SIMON Rhum arrangé vanille bourbon 30%,13.69,500.0ml,Aucune réduction
"ZUBROWKA Vodka polonaise Bison Grass 37,5%",15.34,700.0ml,Aucune réduction
HENRY BARDOUIN Pastis 45%,26.07,700.0ml,Aucune réduction
MARTINI Apéritif Spritz Rosato 8%,8.88,750.0ml,Aucune réduction
PIERRE CHANAU AOP Côtes-du-Rhône rouge,3.80,750.0ml,3 achetés = 2 payés
LA VILLAGEOISE Vin de l'Union Européenne,3.93,quantité inconnue,Aucune réduction
Vin d'Italie Piccini Chianti rouge,5.56,750.0ml,Aucune réduction
PIERRE CHANAU AOP Madiran rouge,4.75,750.0ml,-50% sur le 2ème
PIERRE CHANAU IGP Ardèche Gamay rouge,2.99,750.0ml,3 achetés = 2 payés
LA VILLAGEOISE Vin de l'Union Européenne La Villageoise rouge,2.64,1500.0ml,Aucune réduction
LA VILLAGEOISE Vin de l'Union Européenne blanc,3.78,1500.0ml,Aucune réduction
PIERRE CHANAU IGP Ardèche sauvignon blanc,3.10,750.0ml,3 achetés = 2 payés
LA VILLAGEOISE Vin blanc de cuisine bio,2.65,quantité inconnue,Aucune réduction
LICHETTE Cuvée du Marquis blanc Vin de l'Union Européenne,1.84,750.0ml,Aucune réduction
PIERRE CHANAU IGP Ardèche rosé,3.34,750.0ml,3 achetés = 2 payés
AOP Patrimonio Corse Clos San Quilico rosé bio,16.85,750.0ml,Aucune réduction
PIERRE CHANAU AOP Blaye Côtes-de-Bordeaux rouge,9.40,3000.0ml,Aucune réduction
ARTHUR METZ AOP Crémant d'Alsace brut cuvée spéciale 1904,9.95,750.0ml,Aucune réduction
ARTHUR METZ AOP Crémant d'Alsace brut,9.09,750.0ml,Aucune réduction
AUCHAN Sacs à glaçons démoulage facile fermeture automatique,1.11,15 sacs,-50% sur le 2ème
COSMIA Q10 Recharge crème de nuit visage anti-rides tous types de peaux,2.49,50ml,Aucune réduction
BIORE Patchs purifiants au charbon pour le nez,5.32,6 patchs,Aucune réduction
CADUM Recharge gel douche dermo-respect sans savon à l'huile d'amande douce bio,3.29,500ml,-68% sur le 2ème
CADUM Gel douche douceur beurre de karité,4.05,450ml,-68% sur le 2ème
CADUM Gel douche dermo-respect sans savon peaux délicates,4.05,450ml,-68% sur le 2ème
CADUM Recharge crème de douche surgras au beurre de karité peau nourrie ecopack,3.29,500ml,-68% sur le 2ème
BIC Twin Lady rasoirs jetables 2 lames,2.27,8 rasoirs,-68% sur le 2ème
BIC Miss Soleil rasoirs jetables 3 lames,5.06,4 rasoirs,-68% sur le 2ème
BIC Rasoir jetable homme 3 lames,4.95,x10,-68% sur le 2ème
BIC Sensitive 1 Rasoirs jetables,5.70,20 rasoirs,-68% sur le 2ème
BIC Rasoir jetable Confort 2,4.75,10 rasoirs,-68% sur le 2ème
BIC Rasoirs jetables 2 lames,4.14,10 rasoirs,-68% sur le 2ème
FRUCTIS Shampooing fortifiant force & brillance extrait de pamplemousse,4.29,300ml,-68% sur le 2ème
FRUCTIS Shampooing antipelliculaire 2en1 fortifiant et démêlant extrait de thé vert,4.29,300ml,-68% sur le 2ème
FRUCTIS Masque nourrissant cheveux secs banane,6.99,320ml,-68% sur le 2ème
FRUCTIS Masque hydratant cheveux déshydratés aloe vera,6.99,320ml,-68% sur le 2ème
FRUCTIS Masque réparateur cheveux abîmés papaye,7.89,320ml,-68% sur le 2ème
CADUM Gel douche hydratant,4.05,450ml,-68% sur le 2ème
AXE Dark temptation gel douche homme 5en1 parfum chocolat noir 12h,6.81,2x400ml,Aucune réduction
AXE Gel douche 5 en 1 provocation parfum noix de coco & poivre noir,4.67,2x250ml,Aucune réduction
AXE Déodorant spray homme 48h dark temptation,7.54,2x200ml,Aucune réduction
AXE Déodorant aqua bergamot,8.45,2x150ml,Aucune réduction
AXE Provocation déodorant spray 48h noix de coco et poivre noir,7.54,2x200ml,Aucune réduction
AXE Apollo Déodorant 48h sauge et bois de cèdre,7.54,2x200ml,Aucune réduction
GILLETTE Blue 3 Smooth Rasoirs jetables 3 lames,4.94,4 rasoirs,Aucune réduction
GILLETTE Labs rasoir exfoliant avec recharge et support magnétique,19.78,1 rasoir,Aucune réduction
BIC Homme rasoir jetable 3 lames,8.09,14 rasoirs,-68% sur le 2ème
SIGNAL Integral 8 complet prebiotic,1.90,75ml,Aucune réduction
SIGNAL Dentifrice antibactérien Nature Eléments charbon blancheur & détox,1.67,75ml,Aucune réduction
SIGNAL Dentifrice Integral 8 Nature Elements fraîcheur au bicarbonate,1.67,75ml,Aucune réduction
SIGNAL Dentifrice antibactérien blancheur Nature Eléments coco,1.67,75ml,Aucune réduction
SIGNAL Intégral 8 dentifrice blancheur prebiotique,1.90,75ml,Aucune réduction
SIGNAL Dentifrice intégral 8 nature élément au charbon blancheur et détox,2.79,2x75ml,Aucune réduction
SIGNAL Intégral 8 dentifrice haleine fraiche,2.03,75ml,Aucune réduction
SIGNAL Intégral 8 interdentaire effet prebiotique,2.03,75ml,Aucune réduction
SIGNAL Integral 8 dentifrice blancheur,5.05,3x75ml,Aucune réduction
SIGNAL Integral 8 brosse à dents manuelle soin complet dure,2.10,1 brosse,Aucune réduction
SIGNAL Integral 8 brosse à dents souple,1.88,1 brosse,Aucune réduction
OMO Lessives capsules 3en1 essences naturelles monoï,8.57,29 capsules,Aucune réduction
OMO Lessive en capsules 3en1 jasmin et fleur de coton,7.91,29 capsules,Aucune réduction
OMO Lessive capsules 3en1 essences naturelles pivoine et violette,7.91,29 capsules,Aucune réduction
OMO Lessive capsules 3en1 essences naturelles mangue et fleurs des îles,7.91,29 capsules,Aucune réduction
OMO Lessives capsules 3en1 essences naturelles lavande et patchouli,7.91,29 lavages,Aucune réduction
DASH Lessive liquide 2 en 1 Envolée d'air,9.80,2475.0ml,Aucune réduction
CAJOLINE Adoucissant liquide Créations fleur de la passion et bergamote,4.85,1380.0ml,-68% sur le 2ème
CAJOLINE Adoucissant liquide doux et pur original,5.09,1380.0ml,-68% sur le 2ème
CAJOLINE Adoucissant liquide Créations parfum fleur de tiaré et baies sauvages,5.27,1380.0ml,-68% sur le 2ème
CAJOLINE Adoucissant liquide orchidées sauvages et bois de santal,4.89,60 lavages,-68% sur le 2ème
AUCHAN BETTER LIFE Terre de Sommières,2.99,300g,-50% sur le 2ème
MIR Liquide vaisselle aloe Vera et fleur de coton peaux sensibles,2.39,450.0ml,3 achetés = 2 payés
MIR Liquide vaisselle au vinaigre et framboise,1.92,450ml,3 achetés = 2 payés
MIR Liquide vaisselle dégraissant secrets de Provence à la pêche de vigne et melon,2.31,675ml,3 achetés = 2 payés
AUCHAN BETTER LIFE Savon vaisselle solide au savon de Marseille et bicarbonate de soude,2.80,200g,-50% sur le 2ème
FINISH Powerball Power plus tablettes lave-vaisselle tout en 1,9.90,54 tablettes,-68% sur le 2ème
FINISH Powerball ultimate plus capsules lave-vaisselle,9.90,35 capsules,-68% sur le 2ème
FINISH Powerball quantum capsules lave-vaisselle tout en 1,9.90,46 capsules,-68% sur le 2ème
FINISH Powerball Ultimate capsules lave-vaisselle all in 1 parfum frais,9.90,42 capsules,-68% sur le 2ème
AUCHAN BETTER LIFE Bicarbonate de soude,1.99,500g,-50% sur le 2ème
AUCHAN BETTER LIFE Savon noir liquide à l'huile de lin,2.63,1000.0ml,-50% sur le 2ème
AUCHAN BETTER LIFE Vinaigre ménager concentré,1.71,1000.0ml,-50% sur le 2ème
AUCHAN BETTER LIFE Bicarbonate de soude,5.99,2000.0g,-50% sur le 2ème
AUCHAN BETTER LIFE Cristaux de soude,2.56,500g,-50% sur le 2ème
AUCHAN BETTER LIFE Savon noir liquide à l'huile de lin parfum citron,2.80,1000.0ml,-50% sur le 2ème
AUCHAN BETTER LIFE Copeaux de savon de Marseille naturel,7.00,1000.0g,-50% sur le 2ème
AUCHAN BETTER LIFE Pierre de nettoyage au bicarbonate de soude,4.99,400g,-50% sur le 2ème
AUCHAN BETTER LIFE Savon de Marseille solide écologique,2.46,300g,-50% sur le 2ème
AUCHAN BETTER LIFE Bicarbonate de soude écologique en salière,4.12,600g,-50% sur le 2ème
AUCHAN BETTER LIFE Vinaigre ménager naturel,1.22,1000.0ml,-50% sur le 2ème
AUCHAN BETTER LIFE Spray vinaigre ménager naturel,2.21,750ml,-50% sur le 2ème
AUCHAN BETTER LIFE Gel nettoyant à base de vinaigre à la menthe glaciale,3.34,750.0ml,-50% sur le 2ème
GLADE Touch & fresh Recharge pour diffuseur muguet,3.85,10ml,Aucune réduction
AUCHAN Film fraîcheur étirable et adhérent 50m,2.44,1 rouleau,-50% sur le 2ème
AUCHAN Film alimentaire fraîcheur réfrigérateur et micro-ondes 30m,2.13,1 rouleau,-50% sur le 2ème
AUCHAN Film aluminium résistant 20m,2.57,1 rouleau,-50% sur le 2ème
AUCHAN Film aluminium résistant 50m,4.70,1 rouleau,-50% sur le 2ème
AUCHAN Papier cuisson en feuilles non adhérent,1.18,16 feuilles,-50% sur le 2ème
AUCHAN Papier cuisson non adhérent et large 8m,1.19,1 rouleau,-50% sur le 2ème
AUCHAN Sac pour cuisson au four et micro ondes 35x45cm,1.89,5 sacs,-50% sur le 2ème
AUCHAN Sacs de congelation avec zip3l,1.68,20 sacs,-50% sur le 2ème
AUCHAN Sac de congélation 3l avec liens,1.57,50 sacs,-50% sur le 2ème
AUCHAN Sacs de congélation avec liens petit modèle 1l,1.53,50 sacs,-50% sur le 2ème
AUCHAN Sacs de congélation 6l avec liens,1.57,25 sacs,-50% sur le 2ème
ALFAPAC Sacs de congélation ZIP renforcé petit modèle,2.67,30 sacs,-68% sur le 2ème
BIC Briquets à pierre Mini couleurs assorties,2.95,3 briquets,Aucune réduction
AUCHAN BABY BIO Assiette navarin d'agneau dès 12 mois,2.23,230g,Aucune réduction
AUCHAN BABY BIO Assiette blanquette de dinde dès 18 mois sans sel ajouté,2.13,260g,20 % cagnottés sur le 2ème
"AUCHAN BABY BIO Bol carottes, riz courge butternut et dinde bio dès 6 mois",2.90,2x200g,Aucune réduction
AUCHAN BABY BIO Bol risotto de légumes bio dès 8 mois,3.08,2x200g,20 % cagnottés sur le 2ème
AUCHAN BABY BIO Biscuits fondants dès 10 mois,2.96,120g,20 % cagnottés sur le 2ème
AUCHAN BABY BIO Mon petit goûter biscuits bio dès 12 mois,2.41,150g,20 % cagnottés sur le 2ème
PAMPERS Premium-protection couches taille 2 (4-8kg),15.91,54 couches,-68% sur le 2ème
PAMPERS Premium-protection couches taille 3 (6-10kg),15.91,46 couches,-68% sur le 2ème
PAMPERS Premium-protection couches taille 4 (9-14kg),15.91,39 couches,-68% sur le 2ème
PAMPERS Premium protection pants couches-culottes taille 4 (9-15kg),15.91,31 couches,-68% sur le 2ème
PAMPERS Premium protection couches culottes taille 6 (+15kg),15.91,27 couches,-68% sur le 2ème
AUCHAN BABY Lingettes sensitive au lait d'amande douce lot de 3,3.99,3x64 lingettes,Aucune réduction
FELIX Soup Sachets repas poissons pour chat,2.52,6x48g,-60% sur le 2ème
AUCHAN Boisson lactée pour chat junior & adulte,0.84,200ml,40 % cagnottés sur le 2ème
AUCHAN Croquettes moelleuses au boeuf frais et aux carottes pour moyen et grand chien,7.28,3000.0g,20 % cagnottés sur le 2ème
AUCHAN Croquettes moelleuses au poulet frais et aux carottes pour petit chien,3.27,1000.0g,20 % cagnottés sur le 2ème
AUCHAN Multi croquettes à la volaille et aux légumes verts pour petit chien,5.04,2000.0g,20 % cagnottés sur le 2ème
AUCHAN Noix de cajou non salées,2.75,125g,Aucune réduction
AUCHAN Sac cabas tissu recyclé - coloris aléatoire,2.50,quantité inconnue,Aucune réduction
AUCHAN Vinaigre balsamique de modène IGP,1.51,250.0ml,Aucune réduction
AUCHAN Filets de maquereaux sauce moutarde à l'ancienne,1.52,85g,Aucune réduction
Pommes Gala,2.49,6 pièces,Aucune réduction
AUCHAN Mozzarella en boule,1.05,125g,Aucune réduction
Concombre,1.39,1 pièce,Aucune réduction
Bananes Prix Bas,0.99,5 pièces,Aucune réduction
AUCHAN Penne rigate,0.94,500g,Aucune réduction
AUCHAN Emmental râpé français,1.79,200g,Aucune réduction
AUCHAN BIO Boisson lait d'amande légère sans sucres ajoutés bio,1.76,1000.0ml,Aucune réduction
AUCHAN Œufs de poules élevées en plein air sans OGM,1.59,6 œufs,Aucune réduction
AUCHAN GOURMET Feta grecque AOP,2.72,200g,Aucune réduction
AUCHAN Macaroni,0.92,500g,Aucune réduction
AUCHAN LE POISSONNIER Crevettes entières cuites 80/120,2.50,200g,Aucune réduction
Salade iceberg,0.99,1 pièce,Aucune réduction
AUCHAN Asperges vertes miniatures en bocal,1.87,100g,Aucune réduction
AUCHAN Muesli croustillant au chocolat au lait,2.15,450g,Aucune réduction
BARILLA Sauce pesto alla genovese au basilic frais et parmesan en bocal,2.42,190g,Aucune réduction
AUCHAN Pommes de terre de consommation à chair ferme salade vapeur sautées raclette,3.99,2500.0g,Aucune réduction
Chou-fleur,1.99,1 pièce,Aucune réduction
