nom,prix,unite,reduction
AUCHAN Fromage de chèvre en tranche,2.74,150g,30 % cagnottés sur le 2ème
AUCHAN Mozzarella en tranche,3.30,200g,30 % cagnottés sur le 2ème
AUCHAN Maasdam en tranche,2.25,200g,30 % cagnottés sur le 2ème
AUCHAN Tranches moelleuses,2.06,150g,30 % cagnottés sur le 2ème
CULTIVONS LE BON Pommes Golden,1.59,6 pièces,Aucune réduction
Pommes de terre de consommation Amandine,2.59,2000.0g,Aucune réduction
AUCHAN BIO CULTIVONS LE BON Carottes,1.79,1500.0g,Aucune réduction
TROPICANA Pur jus d'orange sans pulpe,2.01,900.0ml,Aucune réduction
TROPICANA Pur jus d'orange pressée avec pulpe,2.01,900.0ml,Aucune réduction
TROPICANA Pur jus d'oranges sanguinello,3.06,900.0ml,Aucune réduction
TROPICANA Jus multivitaminé,2.37,900.0ml,Aucune réduction
TROPICANA Citronnade au citron de Sicile,1.61,900.0ml,Aucune réduction
CHARAL Langue de boeuf sauce piquante,6.29,300g,Aucune réduction
BRIAU La brandade de morue,5.99,750g,Aucune réduction
AUCHAN Saumon fumé de Norvège,5.99,4 tranches,Aucune réduction
AUCHAN TERROIR Saucisses de Francfort,2.99,4x65g,-40% sur le 2ème
AUCHAN TERROIR Saucisse de Morteau IGP,6.19,300g,-40% sur le 2ème
AUCHAN Saucisses fumées à cuire,4.75,400g,30 % cagnottés sur le 2ème
MAITRE COQ Ailes nature sac,3.69,250g,3 achetés = 2 payés
AUCHAN TERROIR Jambon de Bayonne IGP,3.22,100g,-30% sur le 2ème
AUCHAN TERROIR Jambon d'Auvergne IGP,3.75,100g,-30% sur le 2ème
AUCHAN Viande de boeuf séchée,3.25,70g,-30% sur le 2ème
AUCHAN LE CHARCUTIER Plateau dégustation Italie coppa saucisson et jambon italien,5.09,150g,Aucune réduction
AUCHAN Blanc de poulet taux de sel réduit,2.09,120g,-40% sur le 2ème
AUCHAN Blanc de poulet,1.79,120g,-40% sur le 2ème
AUCHAN Blanc de dinde,2.25,120g,-40% sur le 2ème
PRIX COOL Tranché de dinde halal,1.29,100g,Aucune réduction
AUCHAN Lardons nature,2.95,2x150g,"-1,21 € sur le 2ème"
AUCHAN Lardons fumés,2.95,2x150g,"-1,21 € sur le 2ème"
AUCHAN Allumettes fumées,2.95,2x150g,"-1,21 € sur le 2ème"
AUCHAN Allumettes nature,2.95,2x150g,"-1,21 € sur le 2ème"
JUSTIN BRIDOU Le fuet,3.57,170g,-68% sur le 2ème
AUCHAN TERROIR Saucisses Knacks d'Alsace,3.99,4x65g,-40% sur le 2ème
AUCHAN LE CHARCUTIER Terrine forestière,2.95,170g,Aucune réduction
AUCHAN Taboulé au poulet,1.99,300g,Aucune réduction
AUCHAN Coleslaw,1.75,300g,Aucune réduction
AUCHAN Piémontaise au jambon,1.72,300g,Aucune réduction
AUCHAN Salade Marco Polo aux pâtes et surimi,1.77,300g,Aucune réduction
MAISON TINO Parmentier de canard,6.99,750g,Aucune réduction
AUCHAN Tagliatelles à la carbonara aux lardons fumés sans couverts,2.49,300g,Aucune réduction
PIERRE CLOT Tartiflette au reblochon de Savoie Label Rouge,3.99,300g,Aucune réduction
SODEBO Pasta box tortellini ricotta epinards,3.59,280g,Aucune réduction
AUCHAN Fondant au chocolat,1.56,100g,Aucune réduction
AUCHAN Les desserts tiramisu,1.56,100g,Aucune réduction
AUCHAN Tarte au citron,1.56,110g,Aucune réduction
AUCHAN Mousse au chocolat sur ganache,1.56,100g,Aucune réduction
AUCHAN LE TRAITEUR Cake au jambon et olives,4.89,260g,Aucune réduction
LES P'TITS APEROS Caviar d'aubergines,2.75,200g,4 achetés = 3 payés
LES P'TITS APEROS Tapenade,2.50,100g,4 achetés = 3 payés
LES P'TITS APEROS Guacamole,3.00,200g,4 achetés = 3 payés
LES P'TITS APEROS Trio houmous,1.54,210g,4 achetés = 3 payés
LES P'TITS APEROS Tarama,3.00,150g,4 achetés = 3 payés
JUSTIN BRIDOU Mini bâtons de Berger saucissons nature,2.69,100g,-68% sur le 2ème
JUSTIN BRIDOU Petits bâtons de Berger saucissons nature,3.08,100g,-68% sur le 2ème
JUSTIN BRIDOU Petits bâtons de Berger saucissons nature,4.23,160g,-68% sur le 2ème
DELPEYRAT Bloc de foie gras de canard du sud-ouest,8.95,160g,Aucune réduction
MONSTER ENERGY Boisson énergisante à la taurine et au ginseng boîte,1.55,500.0ml,4 achetés = 3 payés
MONSTER ENERGY Boisson énergisante pipeline punch boîte,2.17,500.0ml,4 achetés = 3 payés
AUCHAN LE TRAITEUR Riz cantonais,3.59,300g,Aucune réduction
PAIN FRAIS Baguette saveur,1.10,250g,4 achetés = 3 payés
PAIN FRAIS Baguette mie dinette,0.95,250g,4 achetés = 3 payés
PAIN FRAIS Pain farine complète et grains de blé broyés,1.39,300g,Aucune réduction
PAIN FRAIS Pain complet,1.49,300g,Aucune réduction
VIENNOISERIES Pain aux raisins,3.35,420g,Aucune réduction
AUCHAN Brioche tranchée aux œufs frais,1.94,500g,20 % cagnottés sur le 2ème
AUCHAN Tortillas de blé et maïs,2.36,320g,40 % cagnottés sur le 2ème
DR OETKER Ristorante pizza 4 fromages,2.50,340g,3 achetés = 2 payés
DR OETKER Ristorante pizza mozzarella,2.50,355g,3 achetés = 2 payés
DR OETKER Ristorante pizza au thon,2.50,355g,3 achetés = 2 payés
AUCHAN TAVOLA IN ITALIA Pizza 4 fromaggi cuite au feu de bois,3.99,390g,40 % cagnottés sur le 2ème
AUCHAN TAVOLA IN ITALIA Pizza margherita cuite au feu de bois,3.99,400g,40 % cagnottés sur le 2ème
DR OETKER Ristorante pizza végétale,2.50,385g,3 achetés = 2 payés
AUCHAN TAVOLA IN ITALIA Pizza alle verdure au feu de bois,3.99,400g,40 % cagnottés sur le 2ème
AUCHAN Paëlla,4.79,900g,40 % cagnottés sur le 2ème
AUCHAN Penne au poulet champignons,4.29,900g,40 % cagnottés sur le 2ème
AUCHAN Gnocchi au poulet et chorizo,5.39,900g,40 % cagnottés sur le 2ème
AUCHAN Riz cantonais,4.49,900g,40 % cagnottés sur le 2ème
AUCHAN Poêlée campagnarde,4.79,900g,40 % cagnottés sur le 2ème
AUCHAN Torsades à la carbonara,5.03,900g,40 % cagnottés sur le 2ème
AUCHAN Poêlée thaï au poulet,5.46,900g,40 % cagnottés sur le 2ème
AUCHAN Poulet basquaise et riz,4.82,900g,40 % cagnottés sur le 2ème
AUCHAN Tagliatelles au saumon et aux épinards,6.85,900g,40 % cagnottés sur le 2ème
AUCHAN GOURMET Poêlée de gambas tagliatelles et légumes grillés,5.69,600g,40 % cagnottés sur le 2ème
"AUCHAN GOURMET Poêlée de Saint-Jacques, crevettes et riz",6.81,600g,40 % cagnottés sur le 2ème
BONDUELLE Original croustis brocolis crème fraîche,3.54,305g,-50% sur le 2ème
AUCHAN Aubergines à la grecque,4.07,900g,40 % cagnottés sur le 2ème
AUCHAN Penne à la bolognaise,4.99,900g,40 % cagnottés sur le 2ème
AUCHAN GOURMET Poêlée de gnocchis au chorizo et gorgonzola,5.55,600g,40 % cagnottés sur le 2ème
AUCHAN COLLECTION Pain surprise cube créatif,9.99,255g,Aucune réduction
AUCHAN Feuilleté au jambon et à l'emmental,2.61,400g,40 % cagnottés sur le 2ème
AUCHAN Feuilleté au chèvre épinard,3.98,400g,40 % cagnottés sur le 2ème
AUCHAN Feuilleté au chèvre,3.77,400g,40 % cagnottés sur le 2ème
AUCHAN Feuilleté aux légumes du soleil,3.59,400g,40 % cagnottés sur le 2ème
BONDUELLE Haricot vert extra-fin sans résidu de pesticides,4.08,750g,-50% sur le 2ème
BONDUELLE Feuille d'épinards sans résidu de pesticides,2.39,750g,-50% sur le 2ème
BONDUELLE Haricots verts extra-fins,2.65,1000.0g,-50% sur le 2ème
